"featureNam","pcode","featureRef","featureAlt","featureA_1","popPlaceCl","popPlace_1","admin0Name","admin0Pcod","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin3Name","admin3Pcod","date","validOn","validTo","longitude","latitude"
"Bambela","ML010101001","Bambela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.57370966,14.6311046000001
"Bangassi-Doudou","ML010101002","Bangassi-Doudou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48828141,14.5385158500001
"Bangassi-Doudou-Maure","ML010101003","Bangassi-Doudou-Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4881114099999,14.5453866
"Bangassi-Gopela","ML010101004","Bangassi-Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.50805091,14.4839506000001
"Bangassi-Liberte","ML010101005","Bangassi-Liberte",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5088009099999,14.4903113500001
"Bangassi Maure","ML010101006","Bangassi Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4726716599999,14.5570376000001
"Bangassi-Nango","ML010101007","Bangassi-Nango",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.50744078,14.49187147
"Diakalel","ML010101008","Diakalel",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.45754203,14.45942847
"Djiguidian-Gopela","ML010101009","Djiguidian-Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48263141,14.4722496000001
"Djiguidian-Peulhs","ML010101010","Djiguidian-Peulhs",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48092141,14.4765301
"Guemou","ML010101011","Guemou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5832594099999,14.6106626000001
"Madinel","ML010101012","Madinel",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.5261104099999,14.48548085
"Segue-Maure","ML010101013","Segue-Maure",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.40461303,14.5024626000001
"Sinthiane","ML010101014","Sinthiane",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.4619719099999,14.49162147
"Bangassi","ML010101000","Bangassi",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Bangassi","ML010101","2015/02/02","2015/04/24",NA,-11.48750015,14.5405559700001
"Diabougou","ML010102001","Diabougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2818456599999,14.4372066
"Dialane","ML010102002","Dialane",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1725981599999,14.5328657200001
"Gamera","ML010102003","Gamera",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.10178953,14.4679597200001
"Kabate","ML010102004","Kabate",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.21114728,14.5089333500001
"Kanamakounou","ML010102005","Kanamakounou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1970175299999,14.44533735
"Segouroume","ML010102006","Segouroume",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1997174099999,14.41346435
"Kouroukoula","ML010102007","Kouroukoula",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.22452691,14.4606388500001
"Tafacirga","ML010102008","Tafacirga",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.12014928,14.48199085
"Dioumou","ML010102009","Dioumou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.1238791599999,14.4188249700001
"Takoutalla","ML010102010","Takoutalla",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2554962799999,14.4500577200001
"Wahiguilou","ML010102011","Wahiguilou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2920655299999,14.4596986
"Kabaté","ML010102000","Kabate",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Colimbine","ML010102","2015/02/02","2015/04/24",NA,-11.2111474,14.50893347
"Bagouko","ML010103001","Bagouko",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.21403666,13.9875139700001
"Balandougou","ML010103002","Balandougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2435460299999,14.1247869700001
"Bangassi","ML010103003","Bangassi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22995666,14.1972238500001
"Bouroukoun","ML010103004","Bouroukoun",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22384641,14.02955797
"Diadieya","ML010103005","Diadieya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.05603028,14.2511191
"Diamou","ML010103006","Diamou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2613257799999,14.08576322
"Tounremoussoya","ML010103007","Tounremoussoya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2509459099999,14.0652913500001
"Dinguira-Almamya","ML010103008","Dinguira-Almamya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2394862799999,14.17066135
"Douroun","ML010103009","Douroun",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.12215866,14.0759524700001
"Drameko","ML010103010","Drameko",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.04127041,14.1147762200001
"Fanga","ML010103011","Fanga",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.22763666,14.21319535
"Foukara Rive Gauche","ML010103012","Foukara Rive Gauche",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.07438966,13.9605614700001
"Tambafara","ML010103013","Tambafara",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.11333866,13.93191885
"Foukara-Ile","ML010103014","Foukara-Ile",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.07071966,13.95768135
"Banganora","ML010103015","Banganora",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.1218986599999,14.0190271000001
"Dougou","ML010103016","Dougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.0701297799999,13.97709322
"Galougo","ML010103017","Galougo",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.05507978,13.8404101
"Hamaya","ML010103018","Hamaya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.24211616,14.05669047
"Illimalo","ML010103019","Illimalo",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.05856016,14.1738918500001
"Soukoutali","ML010103020","Soukoutali",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.04675041,14.1660711000001
"Karaya","ML010103021","Karaya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2347764099999,14.2275467200001
"Logoba","ML010103022","Logoba",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2285065299999,14.07729247
"Makadenia","ML010103023","Makadenia",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2329564099999,14.10049472
"Makania","ML010103024","Makania",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.1530581599999,14.0757123500001
"Moulintako","ML010103025","Moulintako",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.04997041,14.1998642200001
"Saboucire Lakafia","ML010103026","Saboucire Lakafia",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.0550302799999,14.1958038500001
"Takoutala","ML010103027","Takoutala",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.21006678,14.06193097
"Thematessou","ML010103028","Thematessou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2288964099999,14.05573035
"Tinkin","ML010103029","Tinkin",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.28714516,14.0209771
"Wassangara","ML010103030","Wassangara",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.36903316,13.9171171
"Koladounka","ML010103031","Koladounka",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.25796553,13.93356885
"Diamou","ML010103000","Diamou",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Diamou","ML010103","2015/02/02","2015/04/24",NA,-11.2613257799999,14.08576322
"Aourou","ML010104001","Aourou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.5890996599999,14.9608957200001
"Dindinaye","ML010104002","Dindinaye",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.46445241,14.99354885
"Horognewo","ML010104003","Horognewo",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.68770753,14.9361032200001
"Leya","ML010104004","Leya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.83046453,15.1023188500001
"Melga-Soninke","ML010104005","Melga-Soninke",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.78963528,14.9000098500001
"Melga-Toucouleur","ML010104006","Melga-Toucouleur",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.7909952799999,14.8982896000001
"Nattaly","ML010104007","Nattaly",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.75985616,15.0606449700001
"Sambawanssi","ML010104008","Sambawanssi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.6451684099999,14.9183516000001
"Sareyero","ML010104009","Sareyero",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.71242691,14.9316727200001
"Serenaty","ML010104010","Serenaty",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.72801666,14.91459122
"Tichy Ambidedi","ML010104011","Tichy Ambidedi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.7942852799999,14.99039822
"Aourou","ML010104000","Aourou",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Djelebou","ML010104","2015/02/02","2015/04/24",NA,-11.58909978,14.9608957200001
"Arame","ML010105001","Arame",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.18589628,14.56247747
"Djani","ML010105002","Djani",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-11.80751466,14.5938607200001
"Dakassenou","ML010105003","Dakassenou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.0138497799999,14.2859014700001
"Diabougou","ML010105004","Diabougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.2144156599999,14.5378951000001
"Bolibana","ML010105005","Bolibana",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.1969259099999,14.47605922
"Diboli","ML010105006","Diboli",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.2001160299999,14.45063672
"Degui","ML010105007","Degui",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.12132753,14.3690691
"Fouroukarane","ML010105008","Fouroukarane",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.19797591,14.4124432200001
"Naye-Peulh","ML010105009","Naye-Peulh",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.2001057799999,14.4152034700001
"Dialambi","ML010105010","Dialambi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.21463578,14.5107524700001
"Diboli","ML010105000","Diboli",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Faleme","ML010105","2015/02/02","2015/04/24",NA,-12.2001160299999,14.45063685
"Fegui","ML010106001","Fegui",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Fegui","ML010106","2015/02/02","2015/04/24",NA,-12.14680728,14.6210229700001
"Fégui","ML010106000","Fegui",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Fegui","ML010106","2015/02/02","2015/04/24",NA,-12.14680728,14.6210231000001
"Bougoutinti-Gopela","ML010107001","Bougoutinti-Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.3487244099999,14.56608872
"Dag-Dag","ML010107002","Dag-Dag",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.4311326599999,14.5823901000001
"Dibe","ML010107003","Dibe",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.46184203,14.66111747
"Gory Gopela","ML010107004","Gory Gopela",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.33660466,14.61397322
"Koumafara","ML010107005","Koumafara",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.3489145299999,14.7127024700001
"Tichy Gansoye","ML010107006","Tichy Gansoye",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.3408546599999,14.65309697
"Gory Gopéla","ML010107000","Gory Gopela",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Gory Gopela","ML010107","2015/02/02","2015/04/24",NA,-11.3372221499999,14.6149997200001
"Goumera","ML010108001","Goumera",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Goumera","ML010108","2015/02/02","2015/04/24",NA,-11.2990055299999,14.5560877200001
"Goumera","ML010108000","Goumera",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Goumera","ML010108","2015/02/02","2015/04/24",NA,-11.2990055299999,14.5560877200001
"Ambidedi Rive Droite","ML010109001","Ambidedi Rive Droite",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.75686553,14.58469997
"Boko Diomby","ML010109002","Boko Diomby",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.87600328,14.82894285
"Bokoro","ML010109003","Bokoro",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.7352562799999,14.6664477200001
"Bouillagui","ML010109004","Bouillagui",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.79133516,14.8061208500001
"Gagny","ML010109005","Gagny",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.68844703,14.58712022
"Gakoura Rive Droite","ML010109006","Gakoura Rive Droite",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.8415437799999,14.6100923500001
"Gounala","ML010109007","Gounala",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.97442103,14.6630371000001
"Diomba","ML010109008","Diomba",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.8552436599999,14.6651774700001
"Sekekete Gagny","ML010109009","Sekekete Gagny",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.64660816,14.6420054700001
"Troula","ML010109010","Troula",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.67162753,14.75850647
"Gakoura Rive Droite","ML010109000","Gakoura Rive Droite",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Guidimakan Keri Kaff","ML010109","2015/02/02","2015/04/24",NA,-11.8408336599999,14.61222272
"Bangassi","ML010110001","Bangassi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.35102416,14.3444076000001
"Boteguekourou","ML010110002","Boteguekourou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.45534191,14.3790107200001
"Fatola","ML010110003","Fatola",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3129249099999,14.3538086
"Kafa","ML010110004","Kafa",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3682437799999,14.3206554700001
"Serme","ML010110005","Serme",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3641437799999,14.27295085
"Kegnou","ML010110006","Kegnou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3808235299999,14.4031432200001
"Kounda","ML010110007","Kounda",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.32147466,14.34026722
"Lomba","ML010110008","Lomba",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.27644566,14.40250322
"Lontou","ML010110009","Lontou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.34452428,14.3440676000001
"Mamoudiya","ML010110010","Mamoudiya",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3348344099999,14.3437676
"Medine","ML010110011","Medine",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3650939099999,14.3716402200001
"Embranchement","ML010110012","Embranchement",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3907332799999,14.3825912200001
"Médine","ML010110000","Medine",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Hawa Dembaya","ML010110","2015/02/02","2015/04/24",NA,-11.3650939,14.3716403500001
"Aite","ML010111001","Aite",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.6448485299999,15.0866674700001
"Boutinguisse","ML010111002","Boutinguisse",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.65236841,15.1461631
"Demba Diarra","ML010111003","Demba Diarra",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.5406010299999,15.2465327200001
"Hamdallaye","ML010111004","Hamdallaye",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.50052191,15.24100222
"Kalinioro","ML010111005","Kalinioro",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.75406666,15.35789285
"Souena-Gandega","ML010111006","Souena-Gandega",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.7527864099999,15.1824763500001
"Souena-Soumare","ML010111007","Souena-Soumare",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.7846457799999,15.1845266
"Souena-Toucouleur","ML010111008","Souena-Toucouleur",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.78378566,15.1847266
"Teichibe","ML010111009","Teichibe",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.70727741,15.2703748500001
"Kalinioro","ML010111000","Kalinioro",NA,NA,4,"Admin3 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Karakoro","ML010111","2015/02/02","2015/04/24",NA,-11.75416666,15.3602781000001
"Kayes-Ndi","ML010112001","Kayes-Ndi",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.44143228,14.4578483500001
"Khasso-Quinzambougou Diabougou","ML010112002","Khasso-Quinzambougou Diabougou",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.42832241,14.44314697
"Legal-Segou-Quarantaine","ML010112003","Legal-Segou-Quarantaine",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.45053216,14.4514077200001
"Liberte","ML010112004","Liberte",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.43631241,14.4410166000001
"Plateau","ML010112005","Plateau",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.43195241,14.4395466
"Kayes","ML010000000","Kayes",NA,NA,2,"Admin1 Capital","Mali","ML","Kayes","ML01","Kayes","ML0101","Kayes Commune","ML010112","2015/02/02","2015/04/24",NA,-11.43890328,14.44852172
"Ambidedi Poste","ML010113001","Ambidedi Poste",NA,NA,5,NA,"Mali","ML","Kayes","ML01","Kayes","ML0101","Kemene Tambo","ML010113","2015/02/02","2015/04/24",NA,-11.79345491,14.5899304700001
